year,latitude,longitude,ridership,ridership_coords
2024,40.679364,-73.930729,420245.6759,POINT (-73.930729 40.679364)
2024,40.679371,-73.858992,134535.0072,POINT (-73.858992 40.679371)
2024,40.679843,-73.85147,87379.8357,POINT (-73.85147 40.679843)
2024,40.679921,-73.940858,229299.3842,POINT (-73.940858 40.679921)
2024,40.679947,-73.884639,59263.1424,POINT (-73.884639 40.679947)
2024,40.680303,-73.995048,403859.7757,POINT (-73.995048 40.680303)
2024,40.680429,-73.843853,232496.4135,POINT (-73.843853 40.680429)
2024,40.680438,-73.950426,589895.0863,POINT (-73.950426 40.680438)
2024,40.680829,-73.975098,166839.9113,POINT (-73.975098 40.680829)
2024,40.680988,-73.956337,195422.6851,POINT (-73.956337 40.680988)
2024,40.68141,-73.880039,68446.9229,POINT (-73.880039 40.68141)
2024,40.681711,-73.837683,54779.1171,POINT (-73.837683 40.681711)
2024,40.682829,-73.905249,86681.6598,POINT (-73.905249 40.682829)
2024,40.682893,-73.910456,89146.7532,POINT (-73.910456 40.682893)
2024,40.683194,-73.873785,103641.0033,POINT (-73.873785 40.683194)
2024,40.683263,-73.965838,256992.5171,POINT (-73.965838 40.683263)
2024,40.684162,-73.977789,1495651.9884,POINT (-73.977789 40.684162)
2024,40.684331,-73.832163,70845.8027,POINT (-73.832163 40.684331)
2024,40.685951,-73.825798,206270.9629,POINT (-73.825798 40.685951)
2024,40.686113,-73.973946,202799.2928,POINT (-73.973946 40.686113)
2024,40.686145,-73.990862,403299.5575,POINT (-73.990862 40.686145)
2024,40.68637,-73.916559,179354.4724,POINT (-73.916559 40.68637)
2024,40.687119,-73.975375,204935.0091,POINT (-73.975375 40.687119)
2024,40.688089,-73.966839,166361.6368,POINT (-73.966839 40.688089)
2024,40.688246,-73.980492,342834.4011,POINT (-73.980492 40.688246)
2024,40.688484,-73.985001,430724.5334,POINT (-73.985001 40.688484)
2024,40.688764,-73.904046,145083.6287,POINT (-73.904046 40.688764)
2024,40.688873,-73.96007,175499.7846,POINT (-73.96007 40.688873)
2024,40.689627,-73.953522,304776.0296,POINT (-73.953522 40.689627)
2024,40.68963,-73.92227,216157.9777,POINT (-73.92227 40.68963)
2024,40.689941,-73.87255,50475.6284,POINT (-73.87255 40.689941)
2024,40.690545,-73.985065,292185.5178,POINT (-73.985065 40.690545)
2024,40.690635,-73.981824,724962.4245,POINT (-73.981824 40.690635)
2024,40.691324,-73.867139,44316.1694,POINT (-73.867139 40.691324)
2024,40.692259,-73.986642,1231570.2837,POINT (-73.986642 40.692259)
2024,40.692435,-73.86001,131824.6761,POINT (-73.86001 40.692435)
2024,40.693241,-73.990642,954916.3832,POINT (-73.990642 40.693241)
2024,40.693342,-73.928814,193913.9288,POINT (-73.928814 40.693342)
2024,40.693879,-73.851576,52905.5437,POINT (-73.851576 40.693879)
2024,40.694568,-73.949046,153041.6585,POINT (-73.949046 40.694568)
2024,40.695178,-73.84433,90364.2235,POINT (-73.84433 40.695178)
2024,40.695602,-73.904084,248852.3887,POINT (-73.904084 40.695602)
2024,40.697207,-73.935657,423412.0893,POINT (-73.935657 40.697207)
2024,40.697418,-73.836345,68667.4856,POINT (-73.836345 40.697418)
2024,40.697466,-73.993086,262663.57,POINT (-73.993086 40.697466)
2024,40.697857,-73.927397,130965.1902,POINT (-73.927397 40.697857)
2024,40.698664,-73.919711,135535.8426,POINT (-73.919711 40.698664)
2024,40.699337,-73.990531,332209.0638,POINT (-73.990531 40.699337)
2024,40.699622,-73.911986,770814.194,POINT (-73.911986 40.699622)
2024,40.70026,-73.941126,249818.6724,POINT (-73.941126 40.70026)
2024,40.700377,-73.950234,88442.5133,POINT (-73.950234 40.700377)
2024,40.700486,-73.807969,965392.3739,POINT (-73.807969 40.700486)
2024,40.700492,-73.828294,68657.9903,POINT (-73.828294 40.700492)
2024,40.701397,-73.986751,525103.0464,POINT (-73.986751 40.701397)
2024,40.702147,-73.801109,929624.9033,POINT (-73.801109 40.702147)
