address,rest_coords
3388JEROME AVENUE10467.0,POINT (-73.88372539382 40.880540694445)
3035 AVENUE10016.0,POINT (-73.985834693575 40.746671596494)
1850COLLEGE POINT BLVD11356.0,POINT (-73.845880179987 40.782934305789)
4624KISSENA BLVD11355.0,POINT (-73.818559146904 40.750077991775)
13ST MARKS PLACE10003.0,POINT (-73.989042368633 40.72918505831)
6944MAIN ST11367.0,POINT (-73.823599767411 40.730243918453)
867FLATBUSH AVENUE11226.0,POINT (-73.958851829274 40.650968623192)
730988TH ST11385.0,POINT (-73.863401661736 40.708787451106)
9WEST   32 STREET10001.0,POINT (-73.986051082137 40.747390750548)
11WEST   32 STREET10001.0,POINT (-73.986090778063 40.747407223937)
4WORLD TRADE CENTER10048.0,POINT (-74.011463056842 40.710023785916)
2001ORIENTAL BOULEVARD11235.0,POINT (-73.934899899994 40.578489686498)
46185 AVENUE11220.0,POINT (-74.008158535298 40.647187925022)
10725LIBERTY AVE11417.0,POINT (-73.833869581249 40.683655715006)
4015JUNCTION BLVD11368.0,POINT (-73.869097810711 40.748639902718)
803AFLATBUSH AVENUE11226.0,POINT (-73.959358642159 40.653131690899)
4358162ND ST11358.0,POINT (-73.804274992102 40.758299794671)
1805EDISON AVENUE10461.0,POINT (-73.832414343284 40.847449969882)
91EAST  161 STREET10451.0,POINT (-73.924595739271 40.827412033017)
4129BROADWAY10033.0,POINT (-73.938573355861 40.845812847353)
312WEST   58 STREET10019.0,POINT (-73.983043185654 40.767663136397)
115BERRY STREET11249.0,POINT (-73.958744817277 40.718860583554)
18853 AVENUE10029.0,POINT (-73.945518804827 40.790389002332)
84055 AVENUE11209.0,POINT (-74.025392382339 40.62272115497)
290636 AVENUE11106.0,POINT (-73.931201580543 40.7572466229)
2476ARTHUR AVENUE10458.0,POINT (-73.886126927921 40.857221132493)
20815LINDEN BLVD11411.0,POINT (-73.744348284577 40.696328373458)
4347 AVENUE11215.0,POINT (-73.984392603436 40.663529569146)
66AVENUE C10009.0,POINT (-73.979804120768 40.722761050489)
515STANLEY AVENUE11207.0,POINT (-73.889291987381 40.657037898299)
1567BROADWAY10036.0,POINT (-73.985167829517 40.759239769286)
189BOWERY10002.0,POINT (-73.993863497398 40.720734281452)
345GRAND STREET11211.0,POINT (-73.955924425532 40.712431285764)
1003CHURCH AVENUE11218.0,POINT (-73.970162482425 40.646662821648)
